Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Unnamed: 9
XXII,"22nd Century Group, Inc",2.81,349493522.39,,,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/xxii,
FAX,Aberdeen Asia-Pacific Income Fund Inc,4.14,1042993611.36,,1986.0,,,https://www.nasdaq.com/symbol/fax,
IAF,Aberdeen Australia Equity Fund Inc,6.05,137591072.3,,,,,https://www.nasdaq.com/symbol/iaf,
AEF,"Aberdeen Emerging Markets Equity Income Fund, Inc.",6.83,413208361.24,,,,,https://www.nasdaq.com/symbol/aef,
FCO,"Aberdeen Global Income Fund, Inc.",8.42,73462723.38,,1992.0,,,https://www.nasdaq.com/symbol/fco,
ACU,Acme United Corporation.,21.85,73723232.85,,1988.0,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/acu,
ATNM,"Actinium Pharmaceuticals, Inc.",0.73,80638320.69,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/atnm,
AE,"Adams Resources & Energy, Inc.",43.89,185110288.44,,,Energy,Oil Refining/Marketing,https://www.nasdaq.com/symbol/ae,
ACY,AeroCentury Corp.,16.0,22667184.0,,,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/acy,
UAVS,"AgEagle Aerial Systems, Inc.",1.7009,18351011.8009,,,Capital Goods,Aerospace,https://www.nasdaq.com/symbol/uavs,
AIRI,Air Industries Group,1.47,38848563.18,,,Capital Goods,Military/Government/Technical,https://www.nasdaq.com/symbol/airi,
AXU,Alexco Resource Corp,1.07,115558825.14,,,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/axu,
ALO,Alio Gold Inc.,0.7094,59436416.4204,,2011.0,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/alo,
AAU,"Almaden Minerals, Ltd.",0.617,68881648.625,,2015.0,Basic Industries,Precious Metals,https://www.nasdaq.com/symbol/aau,
APT,"Alpha Pro Tech, Ltd.",3.55,49437587.55,,,Health Care,Industrial Specialties,https://www.nasdaq.com/symbol/apt,
