Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,Unnamed: 9
DDD,3D Systems Corporation,19.11,2179118708.13,,,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/ddd,
MMM,3M Company,213.12,125019064005.12,,,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/mmm,
WBAI,500.com Limited,11.51,486357731.83,,2013.0,Consumer Services,Services-Misc. Amusement & Recreation,https://www.nasdaq.com/symbol/wbai,
WUBA,58.com Inc.,74.6,11002715208.0,,2013.0,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/wuba,
EGHT,8x8 Inc,21.5,2006420592.0,,,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/eght,
AHC,A.H. Belo Corporation,4.5,97635159.0,,,Consumer Services,Newspapers/Magazines,https://www.nasdaq.com/symbol/ahc,
ATEN,"A10 Networks, Inc.",6.21,451512345.42,,2014.0,Technology,Computer Communications Equipment,https://www.nasdaq.com/symbol/aten,
AAC,"AAC Holdings, Inc.",6.75,166027556.25,,2014.0,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/aac,
AIR,AAR Corp.,43.78,1534033162.64,,,Capital Goods,Aerospace,https://www.nasdaq.com/symbol/air,
AAN,"Aaron&#39;s,  Inc.",51.99,3773345868.99,,,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/aan,
ABB,ABB Ltd,24.1,51375799334.6,,,Consumer Durables,Electrical Products,https://www.nasdaq.com/symbol/abb,
ABT,Abbott Laboratories,68.5,120170870954.0,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abt,
ABBV,AbbVie Inc.,91.02,137829100971.96,,2012.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abbv,
ANF,Abercrombie & Fitch Company,19.84,1324318611.2,,,Consumer Services,Clothing/Shoe/Accessory Stores,https://www.nasdaq.com/symbol/anf,
AGD,Aberdeen Global Dynamic Dividend Fund,10.37,130139154.97,,2006.0,,,https://www.nasdaq.com/symbol/agd,
AWP,Aberdeen Global Premier Properties Fund,6.3,538070091.3,,2007.0,,,https://www.nasdaq.com/symbol/awp,
ACP,Aberdeen Income Credit Strategies Fund,14.2512,186321214.8864,,2011.0,,,https://www.nasdaq.com/symbol/acp,
JEQ,"Aberdeen Japan Equity Fund, Inc. ",8.3,111129297.6,,1992.0,,,https://www.nasdaq.com/symbol/jeq,
AOD,Aberdeen Total Dynamic Dividend Fund,8.88,955428841.44,,2007.0,,,https://www.nasdaq.com/symbol/aod,
ABM,ABM Industries Incorporated,33.73,2221180977.89,,,Finance,Diversified Commercial Services,https://www.nasdaq.com/symbol/abm,
AKR,Acadia Realty Trust,28.05,2286153876.6,,,Consumer Services,Real Estate Investment Trusts,https://www.nasdaq.com/symbol/akr,
ACN,Accenture plc,173.14,111054219117.6,,2001.0,Miscellaneous,Business Services,https://www.nasdaq.com/symbol/acn,
ACCO,Acco Brands Corporation,12.0,1253857920.0,,,Consumer Durables,Publishing,https://www.nasdaq.com/symbol/acco,
ATV,"Acorn International, Inc.",19.5556,52411745.783999994,,2007.0,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/atv,
ATU,Actuant Corporation,30.2,1839032563.6,,,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/atu,
AYI,Acuity Brands Inc,157.63,6333734655.49,,,Consumer Durables,Building Products,https://www.nasdaq.com/symbol/ayi,
GOLF,Acushnet Holdings Corp.,26.39,1972895947.75,,2016.0,Consumer Non-Durables,Recreational Products/Toys,https://www.nasdaq.com/symbol/golf,
ADX,"Adams Diversified Equity Fund, Inc.",16.55,1673291556.5,,,,,https://www.nasdaq.com/symbol/adx,
PEO,"Adams Natural Resources Fund, Inc.",19.73,572085062.35,,,,,https://www.nasdaq.com/symbol/peo,
AGRO,Adecoagro S.A.,7.3,850853193.6,,2011.0,Consumer Non-Durables,Farming/Seeds/Milling,https://www.nasdaq.com/symbol/agro,
ADNT,Adient plc,42.67,3984174620.66,,2016.0,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/adnt,
ADT,ADT Inc.,8.37,6417861309.27,,2018.0,Consumer Services,Diversified Commercial Services,https://www.nasdaq.com/symbol/adt,
ATGE,Adtalem Global Education Inc.,45.05,2699891550.0,,,Consumer Services,Other Consumer Services,https://www.nasdaq.com/symbol/atge,
AAP,Advance Auto Parts Inc,169.6,12564181356.8,,,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/aap,
ADSW,"Advanced Disposal Services, Inc.",27.38,2425518083.6,,2016.0,Public Utilities,Environmental Services,https://www.nasdaq.com/symbol/adsw,
WMS,"Advanced Drainage Systems, Inc.",32.3,1838812966.2,,2014.0,Capital Goods,Containers/Packaging,https://www.nasdaq.com/symbol/wms,
ASIX,AdvanSix Inc.,34.53,1047331812.57,,2016.0,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/asix,
AAV,Advantage Oil & Gas Ltd,2.55,474152459.55,,,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/aav,
AVK,Advent Claymore Convertible Securities and Income Fund,15.6,312682422.0,,2003.0,,,https://www.nasdaq.com/symbol/avk,
ACM,AECOM,32.74,5263947807.76,,2007.0,Consumer Services,Military/Government/Technical,https://www.nasdaq.com/symbol/acm,
ANW,Aegean Marine Petroleum Network Inc.,1.56,63399058.32,,2006.0,Energy,Oil Refining/Marketing,https://www.nasdaq.com/symbol/anw,
AEB,Aegon NV,24.2,0.0,,,Finance,Life Insurance,https://www.nasdaq.com/symbol/aeb,
AED,Aegon NV,25.81,0.0,,,Finance,Life Insurance,https://www.nasdaq.com/symbol/aed,
AEG,Aegon NV,6.29,12858264932.82,,,Finance,Life Insurance,https://www.nasdaq.com/symbol/aeg,
